Year,Stock,Alpha,Beta,R-squared,N_obs
2019,ICBC,-0.0001385137359162613,0.38757348952510456,0.4682359485984975,233
2019,YILI,0.00019455990294128746,0.7898658677249957,0.37514111688742946,233
2019,ZTE,0.0005851812280560435,1.3898077239987834,0.37874420252942476,233
2019,YUNNAN,-0.00021867409572943854,0.8058657985879347,0.3127229752177053,233
2019,SINOPEC,-0.0003385078676514628,0.3533923563070798,0.4702986749527627,233
2020,ICBC,-0.0007085934362253243,0.32478145338491454,0.3977058768097532,243
2020,YILI,0.00048622513283981127,0.9509531763406082,0.43726373999749657,243
2020,ZTE,-0.0013767429623165724,1.2337943920342664,0.3578698110574655,243
2020,YUNNAN,0.000234295402619866,0.7752686645082713,0.32099689358897066,243
2020,SINOPEC,-0.0007301600055251538,0.2358836703062883,0.2954968846242768,243
2021,ICBC,-0.00015497108160167968,0.08811151165890274,0.037826880365200655,242
2021,YILI,2.8027191150056417e-05,1.0212247142880648,0.3845447128267806,242
2021,ZTE,0.00011178822845030985,0.7271881660485151,0.1681352756289478,242
2021,YUNNAN,0.00010488405483944578,1.1031416593128849,0.3026796403064711,242
2021,SINOPEC,0.00018110591101535073,0.09385356573258435,0.01575126204475319,242
2022,ICBC,-2.0851473311171663e-05,0.07081338058289355,0.04295373567219363,242
2022,YILI,-0.00016976617878384769,0.793064424624384,0.45770565308498856,242
2022,ZTE,9.33965074041744e-05,1.055631912167973,0.4292352164482698,242
2022,YUNNAN,-0.0005011816505217277,0.602566208338751,0.2815127306540577,242
2022,SINOPEC,0.0004132315691556071,0.1974697856797428,0.1731406033596874,242
2023,ICBC,0.00040006666594337713,0.18728010727146882,0.06561002356012835,242
2023,YILI,-2.650987106218259e-05,0.7511273756156864,0.4147687110602899,242
2023,ZTE,0.0007590543767752513,1.1835392486639826,0.145284524858441,242
2023,YUNNAN,8.884397291485265e-06,0.5829187053357999,0.27958445290450584,242
2023,SINOPEC,0.0007708073853499495,0.3186026706806094,0.09081999406862773,242
2024,ICBC,0.000912914918419846,0.10258520456880317,0.03083578449589497,242
2024,YILI,0.00011606930914460829,0.6805371972807763,0.503107830157835,242
2024,ZTE,0.0010303641075710822,1.2329223888313428,0.438948784107833,242
2024,YUNNAN,0.00045276716983883253,0.6429123257726681,0.5260615598831587,242
2024,SINOPEC,0.00033269296589899327,0.23772758302070424,0.12017058282560211,242
2025,ICBC,0.0004023188434993415,0.039193574835035765,0.0032130060990865905,243
2025,YILI,-0.00028774537479900173,0.3532629984604191,0.14635136776314794,243
2025,ZTE,-0.0012712785279585899,1.7234876755214275,0.3243384622134031,243
2025,YUNNAN,-0.0003505604220660406,0.34610422022188614,0.2753679839258909,243
2025,SINOPEC,-0.00031895539650320126,0.21805676828732382,0.11510445856734464,243
2026,ICBC,-0.0010402022673662845,0.028347193298152697,0.0017755596346092917,52
2026,YILI,-0.0013229650637685598,0.38976069860592466,0.21728444073380182,52
2026,ZTE,-0.001550562050147546,1.4631442524082316,0.4769089362963024,52
2026,YUNNAN,-0.0003032315035476302,0.3127116356333606,0.25234109562396967,52
2026,SINOPEC,-0.0006063569175560086,-0.13105256573554258,0.006230236884030127,52
